Time,SL1_CVC1_DVH3_MT040.iRunningF,SL1_SOL_010.oRawOutput,SL1_SOL_011.oRawOutput,SL1_CVC1_DVH3.qRestraintEngaged,SL1_PIT_005.qInput,SL1_PIT_006.qInput,SL1_PIT_007.qInput
12-Jan-26 21:06:37,0,0,0,1,6.640726566,38.50843048,1.523994803
12-Jan-26 21:06:38,0,0,0,1,6.640726566,37.38002777,1.442931294
12-Jan-26 21:06:39,0,0,0,1,6.640726566,37.38002777,1.442931294
12-Jan-26 21:06:40,0,0,0,1,6.640726566,37.41893768,1.483463049
12-Jan-26 21:06:41,0,0,0,1,6.640726566,37.41893768,1.483463049
12-Jan-26 21:06:42,0,0,0,1,6.640726566,37.06874466,2.310311317
12-Jan-26 21:06:43,0,0,0,1,6.640726566,37.06874466,2.310311317
12-Jan-26 21:06:44,0,0,0,1,6.640726566,37.83398438,1.669909239
12-Jan-26 21:06:45,0,0,0,1,6.640726566,37.83398438,1.669909239
12-Jan-26 21:06:46,0,0,0,1,6.640726566,37.84695435,1.621271133
12-Jan-26 21:06:47,0,0,0,1,6.640726566,37.84695435,1.621271133
12-Jan-26 21:06:48,0,0,0,1,6.640726566,37.62646103,1.694228292
12-Jan-26 21:06:49,0,0,0,1,6.640726566,37.62646103,1.694228292
12-Jan-26 21:06:50,0,0,0,1,6.692607403,38.43061066,0.988975406
12-Jan-26 21:06:51,0,0,0,1,6.692607403,38.43061066,0.988975406
12-Jan-26 21:06:52,0,0,0,1,7.146563053,38.87159729,1.394293189
12-Jan-26 21:06:53,0,0,0,1,7.146563053,38.87159729,1.394293189
12-Jan-26 21:06:54,0,0,0,1,7.146563053,37.34111786,1.921206236
12-Jan-26 21:06:55,0,0,0,1,7.146563053,37.34111786,1.921206236
12-Jan-26 21:06:56,0,0,0,1,7.146563053,37.93774414,1.142996192
12-Jan-26 21:06:57,0,0,0,1,7.146563053,37.93774414,1.142996192
12-Jan-26 21:06:58,0,0,0,1,7.146563053,38.23605728,1.410505891
12-Jan-26 21:06:59,0,0,0,1,7.146563053,38.23605728,1.410505891
12-Jan-26 21:07:00,0,0,0,1,6.744487762,38.48249054,1.005188107
12-Jan-26 21:07:01,0,0,0,1,6.744487762,38.48249054,1.005188107
12-Jan-26 21:07:02,0,0,0,1,6.601816177,37.41893768,1.394293189
12-Jan-26 21:07:03,0,0,0,1,6.601816177,37.41893768,1.394293189
12-Jan-26 21:07:04,0,0,0,1,6.601816177,39.29961395,1.070038915
12-Jan-26 21:07:05,0,0,0,1,6.601816177,39.29961395,1.070038915
12-Jan-26 21:07:06,0,0,0,1,6.601816177,37.62646103,1.523994803
12-Jan-26 21:07:07,0,0,0,1,6.601816177,37.62646103,1.523994803
12-Jan-26 21:07:08,0,0,0,1,6.601816177,38.81971741,1.191634297
12-Jan-26 21:07:09,0,0,0,1,6.601816177,38.81971741,1.191634297
12-Jan-26 21:07:10,0,0,0,1,6.601816177,38.17120743,1.467250347
12-Jan-26 21:07:11,0,0,0,1,6.601816177,38.17120743,1.467250347
12-Jan-26 21:07:12,0,0,0,1,6.36835289,38.17120743,1.904993534
12-Jan-26 21:07:13,0,0,0,1,6.36835289,38.17120743,1.904993534
12-Jan-26 21:07:14,0,0,0,1,7.21141386,38.62516403,1.30512321
12-Jan-26 21:07:15,0,0,0,1,7.21141386,38.62516403,1.30512321
12-Jan-26 21:07:16,0,0,0,1,7.21141386,38.41764069,1.556420326
12-Jan-26 21:07:17,0,0,0,1,7.21141386,38.41764069,1.556420326
12-Jan-26 21:07:18,0,0,0,1,6.913100243,37.639431,1.475356698
12-Jan-26 21:07:19,0,0,0,1,6.913100243,37.639431,1.475356698
12-Jan-26 21:07:20,0,0,0,1,6.407263756,37.47081757,1.710440993
12-Jan-26 21:07:21,0,0,0,1,6.407263756,37.47081757,1.710440993
12-Jan-26 21:07:22,0,0,0,1,6.407263756,37.44487762,2.115758896
12-Jan-26 21:07:23,0,0,0,1,6.407263756,37.44487762,2.115758896
12-Jan-26 21:07:24,0,0,0,1,6.485084534,37.92477417,1.904993534
12-Jan-26 21:07:25,0,0,0,1,6.485084534,37.92477417,1.904993534
12-Jan-26 21:07:26,0,0,0,1,6.952010632,37.5486412,1.815823674
12-Jan-26 21:07:27,0,0,0,1,6.952010632,37.5486412,1.815823674
12-Jan-26 21:07:28,0,0,0,1,6.952010632,38.50843048,2.188715935
12-Jan-26 21:07:29,0,0,0,1,6.952010632,38.50843048,2.188715935
12-Jan-26 21:07:30,0,0,0,1,6.679636955,37.9118042,5.204280376
12-Jan-26 21:07:31,0,0,0,1,6.679636955,37.9118042,5.204280376
12-Jan-26 21:07:32,0,0,0,1,6.446174145,33.56679916,9.808690071
12-Jan-26 21:07:33,0,0,0,1,6.446174145,33.56679916,9.808690071
12-Jan-26 21:07:34,0,0,0,1,6.446174145,31.75097466,16.4559021
12-Jan-26 21:07:35,0,0,0,1,6.446174145,31.75097466,16.4559021
12-Jan-26 21:07:36,0,0,0,1,6.939040661,32.24383926,17.3881321
12-Jan-26 21:07:37,0,0,0,1,6.939040661,32.24383926,17.3881321
12-Jan-26 21:07:38,0,0,0,1,7.107652664,32.55512619,17.34760094
12-Jan-26 21:07:39,0,0,0,1,7.107652664,32.55512619,17.34760094
12-Jan-26 21:07:40,0,0,0,1,6.212710857,33.61867905,18.08527946
12-Jan-26 21:07:41,0,0,0,1,6.212710857,33.61867905,18.08527946
12-Jan-26 21:07:42,0,0,0,1,6.420233727,32.06225967,16.97470856
12-Jan-26 21:07:43,0,0,0,1,6.420233727,32.06225967,16.97470856
12-Jan-26 21:07:44,0,0,0,1,7.159533501,32.98313904,18.0204277
12-Jan-26 21:07:45,0,0,0,1,7.159533501,32.98313904,18.0204277
12-Jan-26 21:07:46,0,0,0,1,6.926070213,32.25680923,17.25032425
12-Jan-26 21:07:47,0,0,0,1,6.926070213,32.25680923,17.25032425
12-Jan-26 21:07:48,0,0,0,1,6.459144115,31.03761482,17.92315292
12-Jan-26 21:07:49,0,0,0,1,6.459144115,31.03761482,17.92315292
12-Jan-26 21:07:50,0,0,0,1,6.459144115,31.20622635,17.38002586
12-Jan-26 21:07:51,0,0,0,1,6.459144115,31.20622635,17.38002586
12-Jan-26 21:07:52,0,0,0,1,6.459144115,32.64591599,17.39623833
12-Jan-26 21:07:53,0,0,0,1,6.459144115,32.64591599,17.39623833
12-Jan-26 21:07:54,0,0,0,1,6.822309017,31.3618679,18.17444992
